name,description,price,stock,category,image_url,is_featured
Sony WF-1000XM5,"Integrated Processor V2, best-in-class ANC, AI noise reduction calls.",258,3,Audio,"https://loremflickr.com/600/600/sony,earbuds/all?lock=115",false
Clean Code by Robert Martin (Refurbished),"A handbook of agile software craftsmanship. Certified refurbished — same warranty, lower price.",24,16,Books,"https://loremflickr.com/600/600/book,programming/all?lock=508",false
Sennheiser Momentum 4 (Refurbished),"60-hour battery, Adaptive Noise Cancellation, audiophile sound. Certified refurbished — same warranty, lower price.",251,34,Audio,"https://loremflickr.com/600/600/sennheiser,headphones/all?lock=121",false
Apple Watch Series 9 Bundle,"S9 SiP, Double Tap gesture, always-on Retina display. Comes with extra accessories and extended care.",568,53,Wearables,"https://loremflickr.com/600/600/apple,watch,smartwatch/all?lock=136",false
Barbie Dreamhouse Bundle,Three-story Dreamhouse with elevator and pool. Comes with extra accessories and extended care.,292,9,Toys,"https://loremflickr.com/600/600/barbie,dollhouse,toy/all?lock=542",false
Sony PlayStation 5 Slim Bundle,"Slimmer redesign, detachable disc drive, 1TB SSD. Comes with extra accessories and extended care.",548,2,Gaming,"https://loremflickr.com/600/600/playstation,ps5,console/all?lock=183",false
DJI Mini 4 Pro (Refurbished),"Sub-249g drone with omnidirectional obstacle sensing and 4K HDR. Certified refurbished — same warranty, lower price.",694,26,Cameras,"https://loremflickr.com/600/600/dji,drone/all?lock=178",false
MSI Stealth 14 Studio,"Creator/gaming hybrid, RTX 4060, 14-inch QHD+ 240Hz.",1903,172,Laptops,"https://loremflickr.com/600/600/msi,gaming,laptop/all?lock=43",false
Google Pixel 8 Pro,"Tensor G3, 6.7-inch Super Actua display, computational photography.",948,7,Phones,"https://loremflickr.com/600/600/pixel,google,smartphone/all?lock=67",false
DJI Mini 4 Pro,Sub-249g drone with omnidirectional obstacle sensing and 4K HDR.,891,55,Cameras,"https://loremflickr.com/600/600/dji,drone/all?lock=177",false
New Balance 530 Bundle,Retro 2000s runner returning with vintage colorways. Comes with extra accessories and extended care.,123,41,Footwear,"https://loremflickr.com/600/600/newbalance,530,sneakers/all?lock=340",false
The Pragmatic Programmer,"Your journey to mastery, 20th anniversary edition.",31,85,Books,"https://loremflickr.com/600/600/book,programming/all?lock=504",false
Dr Martens 1460 Boots (Refurbished),"Iconic 8-eye lace-up leather boot with air-cushion sole. Certified refurbished — same warranty, lower price.",150,39,Footwear,"https://loremflickr.com/600/600/docmartens,boots/all?lock=357",false
Ticket to Ride Board Game Bundle,Cross-country train adventure for 2-5 players. Comes with extra accessories and extended care.,64,47,Toys,https://loremflickr.com/600/600/boardgame/all?lock=533,false
Bomber Jacket (Refurbished),"MA-1 style satin bomber, ribbed cuffs and hem, water-repellent. Certified refurbished — same warranty, lower price.",117,35,Outerwear,"https://loremflickr.com/600/600/bomber,jacket/all?lock=326",false
Samsung Galaxy S24 Ultra Bundle,"Snapdragon 8 Gen 3, 200MP camera, built-in S Pen, titanium frame. Comes with extra accessories and extended care.",1496,27,Phones,"https://loremflickr.com/600/600/samsung,galaxy,smartphone/all?lock=60",false
Ticket to Ride Board Game (Refurbished),"Cross-country train adventure for 2-5 players. Certified refurbished — same warranty, lower price.",43,24,Toys,https://loremflickr.com/600/600/boardgame/all?lock=532,false
Leather Belt,"Full-grain bridle leather, brass buckle, made to last.",82,12,Fashion Accessories,"https://loremflickr.com/600/600/leatherbelt,belt/all?lock=383",false
Aviator Sunglasses Bundle,"Metal frame, polarized lenses, UV400 protection. Comes with extra accessories and extended care.",177,42,Fashion Accessories,"https://loremflickr.com/600/600/aviator,sunglasses/all?lock=376",false
Dr Martens 1460 Boots Bundle,Iconic 8-eye lace-up leather boot with air-cushion sole. Comes with extra accessories and extended care.,221,22,Footwear,"https://loremflickr.com/600/600/docmartens,boots/all?lock=358",false
Microsoft Xbox Series X,"12 TFLOPS, true 4K gaming, Quick Resume.",463,183,Gaming,"https://loremflickr.com/600/600/xbox,console,gaming/all?lock=185",false
Philips Norelco 9000 Shaver,"V-Track Pro blades, contour-detect heads, wet/dry.",242,168,Beauty,"https://loremflickr.com/600/600/shaver,grooming/all?lock=482",false
HP Omen 16,"Gaming powerhouse with RTX 4080, 16-inch 240Hz panel, RGB keyboard.",1888,15,Laptops,"https://loremflickr.com/600/600/hp,omen,gaming,laptop/all?lock=29",false
MSR Hubba Hubba NX 2-Person Tent Bundle,"Three-season backpacking tent, 3.4 lb minimum weight. Comes with extra accessories and extended care.",569,60,Sports,"https://loremflickr.com/600/600/tent,camping/all?lock=453",false
Down Parka (Refurbished),"Heavy-duty parka with faux-fur hood, tested to -20F. Certified refurbished — same warranty, lower price.",276,49,Outerwear,"https://loremflickr.com/600/600/parka,winter,jacket/all?lock=322",false
Nike Strike Soccer Ball (Refurbished),"Aerowsculpt grooves for true flight, machine-stitched. Certified refurbished — same warranty, lower price.",24,51,Sports,"https://loremflickr.com/600/600/soccer,sports/all?lock=446",false
Theragun Pro 5th Gen Bundle,Pro-grade percussive therapy device with QX150 motor. Comes with extra accessories and extended care.,709,19,Sports,"https://loremflickr.com/600/600/theragun,massage,fitness/all?lock=461",false
Hydration Backpack 2L,"Lightweight pack with 2L bladder, trail-ready.",86,11,Sports,"https://loremflickr.com/600/600/hydrationpack,hiking/all?lock=448",false
Concept2 RowErg Bundle,"Gold-standard indoor rower, PM5 monitor. Comes with extra accessories and extended care.",1104,42,Sports,"https://loremflickr.com/600/600/rowing,rower,fitness/all?lock=434",false
LG Gram 17,"Lightest 17-inch laptop at under 3 lbs, all-day battery, Core i7.",1532,29,Laptops,"https://loremflickr.com/600/600/lg,gram,laptop/all?lock=47",false
Hydro Flask 32oz,"Vacuum-insulated stainless steel, TempShield.",45,13,Home & Kitchen,"https://loremflickr.com/600/600/hydroflask,waterbottle/all?lock=412",false
Adidas Samba OG,"Heritage indoor soccer shoe, gum sole, T-toe overlay.",126,101,Footwear,"https://loremflickr.com/600/600/adidas,samba,sneakers/all?lock=331",false
Field Jacket (Refurbished),"Waxed cotton field coat with four utility pockets. Certified refurbished — same warranty, lower price.",148,59,Outerwear,"https://loremflickr.com/600/600/fieldjacket,jacket/all?lock=320",false
Asics Gel-Kayano 30,Premium stability runner with FF Blast Plus cushioning.,182,0,Footwear,"https://loremflickr.com/600/600/asics,running,sneakers/all?lock=345",false
Codenames Card Game,Award-winning party game of clue-giving deduction.,18,197,Toys,"https://loremflickr.com/600/600/boardgame,cards/all?lock=534",true
Yeti Tundra 45 Cooler (Refurbished),"Rotomolded ice chest, bear-resistant, lifetime construction. Certified refurbished — same warranty, lower price.",269,12,Sports,"https://loremflickr.com/600/600/yeti,cooler,outdoor/all?lock=459",false
Theragun Pro 5th Gen,Pro-grade percussive therapy device with QX150 motor.,617,29,Sports,"https://loremflickr.com/600/600/theragun,massage,fitness/all?lock=460",false
Premium Polo Shirt,"Pique knit cotton, mother-of-pearl buttons, slim fit.",56,19,Shirts,"https://loremflickr.com/600/600/polo,shirt,menswear/all?lock=268",false
Brooks Ghost 16 (Refurbished),"Neutral cushion runner, DNA Loft v3, smooth heel-to-toe. Certified refurbished — same warranty, lower price.",113,42,Footwear,"https://loremflickr.com/600/600/brooks,running,sneakers/all?lock=349",false
Microsoft Xbox Series S Bundle,"All-digital next-gen console, 1440p performance. Comes with extra accessories and extended care.",346,42,Gaming,"https://loremflickr.com/600/600/xbox,console,gaming/all?lock=189",false
Garmin Fenix 7,"Premium multisport GPS watch, solar charging, MIP display.",847,24,Wearables,"https://loremflickr.com/600/600/garmin,watch,fitness/all?lock=145",false
Lenovo Legion Pro 5 Bundle,"Gaming laptop with Ryzen 7, RTX 4070, 16-inch 240Hz QHD display. Comes with extra accessories and extended care.",1699,6,Laptops,"https://loremflickr.com/600/600/lenovo,legion,gaming,laptop/all?lock=19",false
Whoop 4.0 Bundle,"Recovery-focused band, continuous biometric monitoring. Comes with extra accessories and extended care.",318,3,Wearables,"https://loremflickr.com/600/600/whoop,tracker,fitness/all?lock=153",false
Razer Kiyo Pro Ultra (Refurbished),"Largest 4K Sony sensor for webcam, ultra-wide aperture. Certified refurbished — same warranty, lower price.",205,6,Accessories,"https://loremflickr.com/600/600/razer,webcam/all?lock=240",false
Sony Xperia 1 V Bundle,"Pro-grade camera, 6.5-inch 4K OLED, Snapdragon 8 Gen 2. Comes with extra accessories and extended care.",1642,15,Phones,"https://loremflickr.com/600/600/sony,xperia,smartphone/all?lock=85",false
Moroccanoil Treatment Bundle,"Argan oil-infused hair treatment, smoothes and shines. Comes with extra accessories and extended care.",58,34,Beauty,"https://loremflickr.com/600/600/moroccanoil,haircare/all?lock=476",false
Anker 737 Power Bank (Refurbished),"24,000mAh, 140W USB-C PD, smart display. Certified refurbished — same warranty, lower price.",102,23,Accessories,"https://loremflickr.com/600/600/anker,powerbank/all?lock=222",false
Philips Hue Light Strip Plus,"80-inch dimmable color light strip, extensible.",89,32,Smart Home,"https://loremflickr.com/600/600/philips,hue,smartlight/all?lock=251",false
All-Clad D3 10-Piece Set,"Tri-ply stainless steel cookware, made in USA.",1088,185,Home & Kitchen,"https://loremflickr.com/600/600/allclad,cookware,kitchen/all?lock=405",false
Apple Watch SE,Essential Apple Watch experience at a great value.,310,3,Wearables,"https://loremflickr.com/600/600/apple,watch,smartwatch/all?lock=140",false
Stanley Quencher 40oz (Refurbished),"Insulated tumbler with handle and reusable straw. Certified refurbished — same warranty, lower price.",38,44,Home & Kitchen,"https://loremflickr.com/600/600/stanley,tumbler,drinkware/all?lock=410",false
Canvas Backpack,"Heavy-duty canvas, padded laptop sleeve, 22L capacity.",109,3,Fashion Accessories,"https://loremflickr.com/600/600/backpack,bag/all?lock=372",false
Salomon XT-6,Trail-running heritage shoe with Quicklace and Contagrip.,200,19,Footwear,"https://loremflickr.com/600/600/salomon,trailrunning,sneakers/all?lock=353",false
Coleman Sundome 4-Person Tent (Refurbished),"Easy-setup family camping tent with weatherproof flooring. Certified refurbished — same warranty, lower price.",79,21,Sports,"https://loremflickr.com/600/600/tent,camping/all?lock=455",false
Sonos Era 300 (Refurbished),"Spatial audio with Dolby Atmos, WiFi 6, Trueplay tuning. Certified refurbished — same warranty, lower price.",413,7,Audio,"https://loremflickr.com/600/600/sonos,speaker/all?lock=130",false
Jo Malone English Pear 100ml,Crisp pear and freesia eau de cologne.,187,13,Beauty,"https://loremflickr.com/600/600/jomalone,perfume/all?lock=491",false
HP EliteBook 840 G10 (Refurbished),"Business-class laptop with vPro, 14-inch IPS, fingerprint reader. Certified refurbished — same warranty, lower price.",1269,45,Laptops,"https://loremflickr.com/600/600/hp,elitebook,laptop/all?lock=28",false
"Lodge Cast Iron Skillet 12""","Pre-seasoned, made in USA, virtually indestructible.",49,48,Home & Kitchen,"https://loremflickr.com/600/600/castiron,skillet,kitchen/all?lock=403",false
Razer Kiyo Pro Ultra,"Largest 4K Sony sensor for webcam, ultra-wide aperture.",264,21,Accessories,"https://loremflickr.com/600/600/razer,webcam/all?lock=239",false
Apple iPhone 15 (Refurbished),"6.1-inch Super Retina XDR, A16 Bionic, USB-C, Dynamic Island. Certified refurbished — same warranty, lower price.",774,3,Phones,"https://loremflickr.com/600/600/iphone,apple,smartphone/all?lock=52",false
Birkenstock Arizona Sandals (Refurbished),"Two-strap cork footbed sandal, adjustable buckles. Certified refurbished — same warranty, lower price.",102,22,Footwear,"https://loremflickr.com/600/600/birkenstock,sandals/all?lock=366",false
Samsung T7 Shield 2TB SSD Bundle,"Rugged USB 3.2 Gen 2 portable SSD, IP65, 1,050 MB/s. Comes with extra accessories and extended care.",259,25,Accessories,"https://loremflickr.com/600/600/samsung,ssd,drive/all?lock=229",false
Nintendo Switch OLED,"7-inch vibrant OLED screen, enhanced audio, 64GB storage.",362,4,Gaming,"https://loremflickr.com/600/600/nintendo,switch,console/all?lock=191",false
OnePlus 12 (Refurbished),"Snapdragon 8 Gen 3, 100W charging, 6.82-inch LTPO AMOLED. Certified refurbished — same warranty, lower price.",657,37,Phones,"https://loremflickr.com/600/600/oneplus,smartphone,android/all?lock=76",false
Track Pants,Tricot track pants with side stripes and zip ankles.,71,2,Pants,"https://loremflickr.com/600/600/trackpants,pants,athletic/all?lock=303",false
Bose SoundLink Revolve+ II Bundle,"360-degree sound, water-resistant, deep bass and clear highs. Comes with extra accessories and extended care.",431,55,Audio,"https://loremflickr.com/600/600/bose,speaker/all?lock=128",false
Nerf Elite 2.0 Commander RD-6,Six-dart rotating drum blaster with tactical rail.,25,7,Toys,"https://loremflickr.com/600/600/nerf,toy/all?lock=539",false
Marshall Stanmore III (Refurbished),"Iconic Marshall sound, Bluetooth 5.2, classic brass details. Certified refurbished — same warranty, lower price.",276,42,Audio,"https://loremflickr.com/600/600/marshall,speaker/all?lock=133",false
Canon EOS R6 Mark II (Refurbished),"24MP full-frame, 40fps burst, 6K oversampled 4K. Certified refurbished — same warranty, lower price.",2058,19,Cameras,"https://loremflickr.com/600/600/canon,camera,mirrorless/all?lock=162",false
Lessons in Chemistry,A bestselling debut novel about a 1960s chemist turned TV cook.,19,160,Books,"https://loremflickr.com/600/600/book,fiction/all?lock=514",false
Leather Biker Jacket,"Full-grain lambskin, asymmetric zipper, quilted lining.",328,6,Outerwear,"https://loremflickr.com/600/600/leatherjacket,jacket/all?lock=310",false
Apple AirPods 4 (Refurbished),"H2 chip, redesigned fit, optional ANC, Personalized Spatial Audio. Certified refurbished — same warranty, lower price.",101,44,Audio,"https://loremflickr.com/600/600/airpods,earbuds/all?lock=110",false
Nikon Z8,"45MP stacked sensor, 8K 60p RAW, blackout-free shooting.",4069,62,Cameras,"https://loremflickr.com/600/600/nikon,camera,mirrorless/all?lock=168",false
HP EliteBook 840 G10 Bundle,"Business-class laptop with vPro, 14-inch IPS, fingerprint reader. Comes with extra accessories and extended care.",1872,24,Laptops,"https://loremflickr.com/600/600/hp,elitebook,laptop/all?lock=27",false
Crocs Classic Clog,"Lightweight Croslite clog, ventilation ports, pivoting strap.",55,92,Footwear,"https://loremflickr.com/600/600/crocs,clog/all?lock=367",false
Hyperice Hypervolt 2 (Refurbished),"Bluetooth-enabled percussion massager, 5 speeds. Certified refurbished — same warranty, lower price.",233,11,Sports,"https://loremflickr.com/600/600/hypervolt,massage,fitness/all?lock=464",false
Sennheiser Momentum 4 Bundle,"60-hour battery, Adaptive Noise Cancellation, audiophile sound. Comes with extra accessories and extended care.",370,51,Audio,"https://loremflickr.com/600/600/sennheiser,headphones/all?lock=122",false
Rogue Kettlebell 35lb,"Cast iron kettlebell with smooth handle, color-coded.",106,4,Sports,"https://loremflickr.com/600/600/kettlebell,fitness/all?lock=432",false
Apple iPhone 15 Pro Bundle,"Titanium frame, A17 Pro, ProMotion display, triple-lens 48MP camera. Comes with extra accessories and extended care.",1156,53,Phones,"https://loremflickr.com/600/600/iphone,pro,smartphone/all?lock=54",false
Funko Pop Marvel Spider-Man (Refurbished),"Bobblehead vinyl figure, 3.75 inches tall. Certified refurbished — same warranty, lower price.",11,27,Toys,"https://loremflickr.com/600/600/funko,pop,marvel/all?lock=550",false
Pleated Wide-Leg Trouser,"Vintage-inspired pleats, wide leg, flowy drape.",92,45,Pants,"https://loremflickr.com/600/600/trousers,pants/all?lock=302",true
Hot Wheels Track Builder Bundle,Modular track set with stunt ramps and loops. Comes with extra accessories and extended care.,41,46,Toys,"https://loremflickr.com/600/600/hotwheels,toy/all?lock=538",false
Jo Malone English Pear 100ml Bundle,Crisp pear and freesia eau de cologne. Comes with extra accessories and extended care.,215,30,Beauty,"https://loremflickr.com/600/600/jomalone,perfume/all?lock=493",false
Philips Norelco 9000 Shaver Bundle,"V-Track Pro blades, contour-detect heads, wet/dry. Comes with extra accessories and extended care.",278,35,Beauty,"https://loremflickr.com/600/600/shaver,grooming/all?lock=484",false
Quilted Puffer Jacket,"650-fill power down, water-resistant shell, packable.",150,193,Outerwear,"https://loremflickr.com/600/600/puffer,jacket,winter/all?lock=306",false
Salomon XT-6 (Refurbished),"Trail-running heritage shoe with Quicklace and Contagrip. Certified refurbished — same warranty, lower price.",156,58,Footwear,"https://loremflickr.com/600/600/salomon,trailrunning,sneakers/all?lock=354",false
New Balance 530 (Refurbished),"Retro 2000s runner returning with vintage colorways. Certified refurbished — same warranty, lower price.",83,49,Footwear,"https://loremflickr.com/600/600/newbalance,530,sneakers/all?lock=341",false
The Ordinary Niacinamide 10% (Refurbished),"Reduces appearance of blemishes and congestion. Certified refurbished — same warranty, lower price.",6,7,Beauty,"https://loremflickr.com/600/600/serum,skincare/all?lock=470",false
Asus ROG Zephyrus G14 (Refurbished),"Compact 14-inch gaming laptop, Ryzen 9, RTX 4070, AniMe Matrix lid. Certified refurbished — same warranty, lower price.",1698,59,Laptops,"https://loremflickr.com/600/600/asus,rog,gaming,laptop/all?lock=33",false
Google Pixel 8,"Best-in-class camera, Tensor G3, 7 years of OS updates.",632,28,Phones,"https://loremflickr.com/600/600/pixel,google,smartphone/all?lock=70",false
Flannel Plaid Shirt (Refurbished),"Brushed flannel, classic plaid, button-front, two chest pockets. Certified refurbished — same warranty, lower price.",49,9,Shirts,"https://loremflickr.com/600/600/flannel,shirt,menswear/all?lock=271",false
HP Pavilion 15,"Everyday laptop, Ryzen 5, 8GB RAM, 256GB SSD, 15.6-inch FHD.",760,14,Laptops,"https://loremflickr.com/600/600/hp,pavilion,laptop/all?lock=24",false
Asus ROG Zephyrus G14 Bundle,"Compact 14-inch gaming laptop, Ryzen 9, RTX 4070, AniMe Matrix lid. Comes with extra accessories and extended care.",2504,57,Laptops,"https://loremflickr.com/600/600/asus,rog,gaming,laptop/all?lock=34",false
Keychron Q1 Pro (Refurbished),"Wireless QMK/VIA mechanical keyboard, hot-swap, aluminum. Certified refurbished — same warranty, lower price.",165,7,Gaming,"https://loremflickr.com/600/600/keychron,keyboard/all?lock=208",false
Microsoft Surface Pro 9,2-in-1 tablet/laptop with detachable keyboard and Surface Pen support.,1546,2,Laptops,"https://loremflickr.com/600/600/surface,tablet,laptop/all?lock=40",false
Track Pants Bundle,Tricot track pants with side stripes and zip ankles. Comes with extra accessories and extended care.,81,53,Pants,"https://loremflickr.com/600/600/trackpants,pants,athletic/all?lock=304",false
Hyperice Hypervolt 2 Bundle,"Bluetooth-enabled percussion massager, 5 speeds. Comes with extra accessories and extended care.",343,55,Sports,"https://loremflickr.com/600/600/hypervolt,massage,fitness/all?lock=463",false
iRobot Roomba j7+,"Self-emptying robot vacuum, obstacle recognition.",773,12,Home & Kitchen,"https://loremflickr.com/600/600/roomba,vacuum/all?lock=421",false
